z TM e p Hepp Hep He HeHp H Hm H2 H2p H3p D Dp HD HDp H2Dp H2para H2orto    HD_0    HD_1    HD_2    HD_3    HD_4    HD_5    HD_6    HD_7    HD_8    HD_v1j0    HD_v1j1    HD_9    HD_v1j2    HD_v1j3    HD_v1j4    HD_10    HD_ALL
3173.1793 8652.8107 1.081675 1 2.1983462e-14 0.99982347 0.00017653343 1.7314823e-21 2.8088107e-10 6.3031089e-28 5.9012281e-44 7.1531588e-28 3.092112e-53 2.8088106e-10 1 1.1577636e-41 7.1531586e-28 2.8826846e-62 0.24999999 0.75000001    0.010650204    0.031480068    0.050937865    0.068236077    0.08276045    0.094107143    0.10209606    0.10676064    0.10831698    0.0058219469    0.017219633    0.1071209    0.027898795    0.037444545    0.045529925    0.10361877    1
3141.3517 8566.0489 1.0816696 1 1.1096104e-14 0.99975719 0.00024280752 2.3694246e-21 3.32795e-10 7.4440883e-28 9.5557859e-44 8.4226699e-28 6.127235e-53 3.3279498e-10 1 1.8978181e-41 8.4226697e-28 6.7609142e-62 0.24999998 0.75000002    0.010694603    0.031606552    0.051127211    0.068459136    0.082981941    0.094290035    0.10220585    0.10676896    0.10820404    0.0058105647    0.017183496    0.1068767    0.027832271    0.037339298    0.045376297    0.10324304    1
3110.2476 8481.2589 1.0816622 1 5.611581e-15 0.99966632 0.00033367772 3.2396156e-21 3.9416451e-10 8.7896243e-28 1.5462155e-43 9.9181869e-28 1.2020345e-52 3.9416449e-10 1 3.1074707e-41 9.9181866e-28 1.5692978e-61 0.24999998 0.75000002    0.010738987    0.031732968    0.051316376    0.068681829    0.083202845    0.094472148    0.10231479    0.10677658    0.10809088    0.0057992019    0.017147435    0.10663311    0.027765928    0.037234423    0.045223356    0.10286914    1
3079.1434 8396.4689 1.0816517 1 2.7988332e-15 0.99953847 0.00046153454 4.4578364e-21 4.6851912e-10 1.0416045e-27 2.5281093e-43 1.1724408e-27 2.3671627e-52 4.6851909e-10 1 5.1409051e-41 1.1724408e-27 3.6694851e-61 0.24999998 0.75000002    0.010784387    0.031862253    0.05150975    0.068909321    0.083428277    0.094657689    0.1024254    0.10678367    0.10797485    0.0057875952    0.017110613    0.10638449    0.027698229    0.037127495    0.045067567    0.10248842    1
3048.0392 8311.6788 1.081637 1 1.3761164e-15 0.99935739 0.00064261389 6.1746505e-21 5.5895106e-10 1.2389608e-27 4.1781529e-43 1.3914872e-27 4.6710254e-52 5.5895101e-10 1 8.595897e-41 1.3914871e-27 8.6291249e-61 0.24999997 0.75000003    0.010830839    0.031994504    0.051707473    0.069141767    0.083658376    0.094846754    0.10253769    0.10679019    0.10785586    0.0057757368    0.017073006    0.10613068    0.027629133    0.037018452    0.04490885    0.1021007    1
3017.6584 8228.8607 1.0816165 1 6.7812886e-16 0.99910637 0.00089362767 8.5432176e-21 6.665403e-10 1.473241e-27 6.8982587e-43 1.6514312e-27 9.0737426e-52 6.6654023e-10 1 1.4353186e-40 1.6514311e-27 1.9967723e-60 0.24999997 0.75000003    0.010877261    0.032126639    0.051904936    0.069373743    0.083887766    0.095034918    0.10264904    0.10679596    0.10773667    0.0057639035    0.017035493    0.1058776    0.027560255    0.036909846    0.044750921    0.10171505    1
2987.2776 8146.0425 1.0815873 1 3.2934425e-16 0.99874938 0.0012506221 1.189648e-20 7.9780531e-10 1.7584634e-27 1.1513905e-42 1.9678794e-27 1.7598425e-51 7.9780522e-10 1 2.422642e-40 1.9678793e-27 4.6303646e-60 0.24999997 0.75000003    0.010924755    0.032261799    0.052106829    0.069610755    0.084121884    0.09522663    0.10276206    0.10680111    0.10761444    0.0057518146    0.016997183    0.10561927    0.027489962    0.036799103    0.044590042    0.10132236    1
2957.6201 8065.1963 1.0815468 1 1.6038258e-16 0.99825336 0.0017466385 1.6535386e-20 9.543686e-10 2.0979489e-27 1.9191467e-42 2.3446131e-27 3.3500543e-51 9.5436848e-10 1 4.0820021e-40 2.3446129e-27 1.0532895e-59 0.24999996 0.75000004    0.010972189    0.032396758    0.05230833    0.069847135    0.084355127    0.095417294    0.10287403    0.10680549    0.10749209    0.0057397592    0.016958995    0.10536187    0.027419937    0.036688878    0.044430072    0.10093204    1
2927.9626 7984.35 1.0814891 1 7.6953142e-17 0.99754748 0.0024525238 2.3109851e-20 1.1459637e-09 2.512555e-27 3.2342769e-42 2.8049423e-27 6.3530365e-51 1.1459635e-09 1 6.953393e-40 2.8049421e-27 2.3958763e-59 0.24999995 0.75000005    0.011020717    0.032534798    0.052514338    0.070088627    0.084593152    0.095611526    0.10298766    0.1068092    0.10736664    0.0057274446    0.01692    0.10509914    0.027348481    0.036576498    0.044267136    0.10053465    1
2898.3051 7903.5037 1.0814067 1 3.6360155e-17 0.99654147 0.0034585289 3.2442584e-20 1.3813674e-09 3.0209396e-27 5.5128089e-42 3.3698559e-27 1.1997852e-50 1.3813671e-09 1 1.1978506e-39 3.3698556e-27 5.4482508e-59 0.24999995 0.75000005    0.011070376    0.032676024    0.052725002    0.070335394    0.084836104    0.095809423    0.10310297    0.10681218    0.10723797    0.0057148625    0.016880173    0.10483093    0.027275552    0.036461902    0.044101153    0.10012999    1
