F    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL   ALL
1.9275249    0    0    0    0    0    0    0    0    5.9598444e-20    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5.9598444e-20    0    0    0    0    0   5.9587012e-20
1.9498446    0    0    0    0    0    0    0    0    1.0426495e-19    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.0426495e-19    0    0    0    0    0   1.042416e-19
1.9724227    0    0    0    0    0    0    0    0    1.8198176e-19    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.8198176e-19    0    0    0    0    0   1.8196005e-19
1.9952623    0    0    0    0    0    0    0    0    3.1827832e-19    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3.1827832e-19    2.7822775e-18    0    0    0    2.7822775e-18   3.1005558e-18
2.0183664    0    0    0    0    0    0    0    0    5.6876189e-19    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5.6876189e-19    0    0    0    0    0   0
2.0417379    0    0    0    0    0    0    0    0    1.1147152e-18    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.1147152e-18    0    0    0    0    0   0
2.0653802    0    0    0    0    0    0    0    0    2.7899847e-18    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.7899847e-18    0    0    0    0    0   0
2.0892961    0    0    0    0    0    0    0    0    9.7434746e-18    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    9.7434746e-18    0    0    0    0    0   0
2.113489    0    0    0    0    0    0    0    0    4.1235781e-17    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4.1235781e-17    0    0    0    0    0   0
2.1379621    0    0    0    0    0    0    0    0    1.7677128e-16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.7677128e-16    0    0    0    0    0   0
2.1627185    0    0    0    0    0    0    0    0    7.0346619e-16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.0346619e-16    0    0    0    0    0   0
2.1877616    0    0    0    0    0    0    0    0    2.5188573e-15    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.5188573e-15    0    0    0    0    0   0
2.2130947    0    0    0    0    0    0    0    0    8.0112341e-15    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8.0112341e-15    0    0    0    0    0   0
2.2387211    0    0    0    0    0    0    0    0    2.2404383e-14    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.2404383e-14    0    0    0    0    0   0
2.2646443    0    0    0    0    0    0    0    0    5.4424949e-14    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5.4424949e-14    0    0    0    0    0   0
2.2908677    0    0    0    0    0    0    0    0    1.1351319e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1.1351319e-13    0    0    0    0    0   1.1526848e-14
2.3173946    0    0    0    0    0    0    0    0    2.031428e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2.031428e-13    0    0    0    0    0   1.1616027e-13
2.3442288    0    0    0    0    0    0    0    0    3.1862189e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3.1862189e-13    0    0    0    0    0   2.4380567e-13
2.3713737    0    0    0    0    0    0    0    0    4.5420239e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4.5420239e-13    0    0    0    0    0   3.8927852e-13
2.3988329    0    0    0    0    0    0    0    0    6.0411567e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6.0411567e-13    0    0    0    0    0   5.4725494e-13
2.4266101    0    0    0    0    0    0    0    0    7.5379827e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.5379827e-13    0    0    0    0    0   7.0352407e-13
2.4547089    0    0    0    0    0    0    0    0    8.8363979e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8.8363979e-13    0    0    0    0    0   8.387563e-13
2.4831331    0    0    0    0    0    0    0    0    7.3281102e-13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7.3281102e-13    0    0    0    0    0   6.923466e-13
